word,part_of_speech,definition,example,synonyms
impertinent,s,characterized by a lightly pert and exuberant quality; not pertinent to the matter under consideration; improperly forward or bold,a certain irreverent gaiety and ease of manner; an issue extraneous to the debate; don't be fresh with me; the price was immaterial; mentioned several impertinent facts before finally coming to the point; impertinent of a child to lecture a grownup; Don't get wise with me!; an impudent boy given to insulting strangers,"extraneous, fresh, immaterial, impudent, irreverent, orthogonal, overbold, pert, sassy, saucy, smart, wise"
impervious,a,not admitting of passage or capable of being affected,someone impervious to argument; a material impervious to water,imperviable
impetuous,s,characterized by undue haste and lack of thought or deliberation; ; ; ; ; (`brainish' is archaic); marked by violent force,a hotheaded decision; liable to such impulsive acts as hugging strangers; an impetuous display of spending and gambling; impetuous heaving waves; madcap escapades,"brainish, hotheaded, impulsive, madcap, tearaway"
impious,"s, a",lacking due respect or dutifulness; lacking piety or reverence for a god,impious toward one's parents; an undutiful son,undutiful
impolitic,a,not politic,an impolitic approach to a sensitive issue,
imponderable,"n, a",difficult or impossible to evaluate with precision; a factor whose effects cannot be accurately assessed,such imponderable human factors as aesthetic sensibility; human behavior depends on many imponderables,
importune,v,beg persistently and urgently,I importune you to help them,insist
importuned,v,beg persistently and urgently,I importune you to help them,"importune, insist"
imprecation,n,a slanderous accusation; the act of calling down a curse that invokes evil (and usually serves as an insult),he suffered the imprecations of the mob,malediction
improvident,"s, a",not given careful consideration; not provident; not providing for the future,ill-considered actions often result in disaster; an ill-judged attempt,"ill-considered, ill-judged, shortsighted"
imprudent,"s, a",lacking wise self-restraint; not prudent or wise; ; - A.M.Schlesinger,would be imprudent for a noneconomist to talk about the details of economic policy; an imprudent remark; very imprudent of her mother to encourage her in such silly romantic ideas,
impudent,s,marked by casual disrespect; improperly forward or bold,a flip answer to serious question; don't be fresh with me; impertinent of a child to lecture a grownup; the student was kept in for impudent behavior; Don't get wise with me!; an impudent boy given to insulting strangers,"flip, fresh, impertinent, insolent, overbold, sassy, saucy, smart, snotty-nosed, wise"
impugn,v,attack as false or wrong,,
impunity,n,exemption from punishment or loss,,
impussiant,,,,
inalienable,"s, a",incapable of being repudiated or transferred to another; not subject to forfeiture,an unforfeitable right; endowed by their Creator with certain unalienable rights,"unalienable, unforfeitable"
inanity,n,total lack of meaning or ideas,,"mindlessness, pointlessness, senselessness, vacuity"
inasmuch,,,,
inborn,s,normally existing at birth; present at birth but not necessarily hereditary; acquired during fetal development,mankind's connatural sense of the good,"congenital, connatural, inbred, innate"
inchoate,s,only partly in existence; imperfectly formed,an incipient tumor; a vague inchoate idea; incipient civil disorder,incipient
incipient,s,only partly in existence; imperfectly formed,an incipient tumor; a vague inchoate idea; incipient civil disorder,inchoate
incisive,s,suitable for cutting or piercing; having or demonstrating ability to recognize or draw fine distinctions,penetrating insight; incisive comments; icy knifelike reasoning; frequent penetrative observations; an acute observer of politics and politicians; as sharp and incisive as the stroke of a fang; incisive teeth,"acute, discriminating, keen, knifelike, penetrating, penetrative, piercing, sharp"
inclement,a,(of weather or climate) severe; used of persons or behavior; showing no clemency or mercy,the harsh sentence of an inclement judge,
inculpate,v,suggest that someone is guilty,,"imply, incriminate"
incursion,n,the act of entering some territory or domain (often in large numbers); the mistake of incurring liability or blame; an attack that penetrates into enemy territory,the incursion of television into the American living room,penetration
indemnify,v,"make amends for; pay compensation for; secure against future loss, damage, or liability; give security for",This plan indemnifies workers against wages lost through illness; One can never fully repair the suffering and losses of the Jews in the Third Reich; She was compensated for the loss of her arm in the accident,"compensate, recompense, repair"
indigent,s,poor enough to need help from others,,"destitute, impoverished, necessitous, needy, poverty-stricken"
indolence,n,inactivity resulting from a dislike of work,,laziness
indomitable,s,impossible to subdue,,"never-say-die, unsubduable"
industrious,s,working hard to promote an enterprise; characterized by hard work and perseverance,,"energetic, gumptious, hardworking, tireless, untiring, up-and-coming"
ineluctable,s,impossible to avoid or evade:,an ineluctable destiny; inescapable conclusion; an unavoidable accident,"inescapable, unavoidable"
inequity,n,injustice by virtue of not conforming with rules or standards,,unfairness
inerrancy,n,(Christianity) exemption from error,biblical inerrancy,
inexorable,s,"impervious to pleas, persuasion, requests, reason; ; - W.Churchill; not to be placated or appeased or moved by entreaty","Cynthia was inexorable; she would have none of him; relentless persecution; he is adamant in his refusal to change his mind; the stern demands of parenthood; an intransigent conservative opposed to every liberal tendency; Russia's final hour, it seemed, approached with inexorable certainty; grim determination; grim necessity","adamant, adamantine, grim, intransigent, relentless, stern, unappeasable, unforgiving, unrelenting"
infelicitous,"s, a",not appropriate in application; defective; marked by or producing unhappiness; ; - American Guide Series,"infelicitous circumstances; the infelicitous typesetting was due to illegible copy; unhappy caravans, straggling afoot through swamps and canebrakes; infelicitous phrasing; an infelicitous remark",unhappy
ingenue,n,the role of an innocent artless young woman in a play; an artless innocent young girl (especially as portrayed on the stage); an actress who specializes in playing the role of an artless innocent young girl,,
